"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
207,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.60,0.00
208,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.80,0.00
209,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.90,0.00
210,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.80,0.00
211,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.20,0.00
212,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,1.20,0.00
213,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,1.80,0.00
214,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.50,0.00
215,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.70,0.00
216,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.00,0.00
217,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,1.00,0.00
218,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.40,0.00
219,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.00,0.00
220,"Bellfountain","S","BF-6",6/14/2006 0:00:00,2006,"Deborah Nemens",6,0,0,0.20,0.00
221,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,2.60,0.00
222,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,1.10,0.00
223,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,1.80,0.00
224,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,0.30,0.00
225,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,0.60,0.00
226,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,2.00,0.00
227,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,1.50,0.00
228,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,0.20,0.00
229,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,0.80,0.00
230,"Bellfountain","S","BF-8",6/14/2006 0:00:00,2006,"Deborah Nemens",8,0,0,0.40,0.00
231,"Bellfountain","S","BF-10",6/14/2006 0:00:00,2006,"Deborah Nemens",10,0,0,8.40,0.00
232,"Bellfountain","S","BF-10",6/14/2006 0:00:00,2006,"Deborah Nemens",10,0,0,3.00,0.00
